Company,Company Type,Primary Languages,Frameworks & Libraries,Databases,Cloud Infrastructure,Common Job Roles,P25 Salary (USD),P50 Salary (USD),P75 Salary (USD),Salary Tier,Location,Data Year,Notes
AMD,Hardware/Semiconductor,"C, C++, Python, HIP, Assembly","ROCm, PyTorch, TensorFlow, Docker, Kubernetes",,"SLURM, Distributed Systems","Software Engineer, GPU Engineer, ML Engineer, Hardware Engineer",146000,228000,256000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Accenture,Consulting,"Java, Python, C#, R, JavaScript, Node.js","Spring Boot, Django, .NET, Angular, React","SQL Server, Oracle, PostgreSQL","AWS, Azure, Google Cloud","Software Engineer, Consultant, Solutions Architect, Data Analyst",85000,105000,130000,Tier 3 (Competitive),United States,2024-2025,Software Engineer role
Adobe,Tech Company,"JavaScript, Java, C++, Python","React, Node.js, Spring","MongoDB, PostgreSQL","AWS, Azure","Software Engineer, Product Manager, UX Designer",150000,195000,245000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Airbnb,Tech Company,"Ruby, JavaScript, Java, Python","Rails, React, Node.js","MySQL, PostgreSQL, Redis",AWS,"Software Engineer, Data Scientist, Product Manager",180000,250000,320000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
Amazon,Big Tech,"Java, Python, C++, JavaScript","Spring, React, Node.js","DynamoDB, Aurora, RDS",AWS (owns it),"Software Engineer, SDE, Data Engineer, ML Engineer",150000,190000,240000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Apple,Big Tech,"Swift, Objective-C, C++, Python","UIKit, SwiftUI, Core ML","CloudKit, Core Data","iCloud, AWS","Software Engineer, Hardware Engineer, ML Engineer",165000,210000,280000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Atlassian,Tech Company,"Java, JavaScript, Python, Kotlin","Spring, React, Node.js","PostgreSQL, DynamoDB",AWS,"Software Engineer, Site Reliability Engineer, Product Manager",155000,200000,255000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Capgemini,Consulting,"Java, Python, C#, JavaScript",".NET, Spring, Angular","Oracle, SQL Server, MongoDB","AWS, Azure, Google Cloud","Consultant, Software Engineer, Business Analyst",75000,95000,120000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
Citadel,Finance/Trading,"C++, Python, Java",Proprietary trading systems,"KDB+, PostgreSQL",Private infrastructure,"Quant Developer, Software Engineer, Quant Researcher",250000,350000,500000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
Cognizant,Consulting,"Java, Python, .NET, JavaScript","Spring, Angular, React","Oracle, SQL Server, MongoDB","AWS, Azure, Google Cloud","Software Engineer, Consultant, Business Analyst",70000,85000,105000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
Deloitte,Consulting,"Python, Java, R, SQL","Spring, Django, React","SQL Server, Oracle, Snowflake","AWS, Azure, Google Cloud","Consultant, Data Analyst, Software Engineer",80000,100000,130000,Tier 3 (Competitive),United States,2024-2025,Software Engineer role
EY,Consulting,"Python, Java, SQL, R","Spring, Power BI","SQL Server, Oracle","AWS, Azure","Consultant, Data Analyst, Auditor",75000,95000,125000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
Goldman Sachs,Finance/Trading,"Java, C++, Python, Scala","Spring, Slang (proprietary)","Oracle, MongoDB, KDB+","Private cloud, AWS","Software Engineer, Quant, VP Engineering",150000,200000,300000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Google,Big Tech,"C++, Java, Python, Go, JavaScript","Angular, TensorFlow, Kubernetes","Bigtable, Spanner, BigQuery",Google Cloud (owns it),"Software Engineer, SRE, Research Scientist",180000,280000,380000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
HCL,Indian IT Services,"Java, Python, .NET, JavaScript","Spring, Angular","Oracle, SQL Server","AWS, Azure","Software Engineer, Support Engineer, Consultant",65000,80000,100000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
HubSpot,Tech Company,"Java, JavaScript, Python, TypeScript","React, Node.js, Spring","MySQL, DynamoDB",AWS,"Software Engineer, Product Manager, Data Analyst",130000,170000,220000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Infosys,Indian IT Services,"Java, Python, .NET, JavaScript","Spring, Angular, React","Oracle, SQL Server, MongoDB","AWS, Azure, Google Cloud","Software Engineer, Systems Engineer, Consultant",68000,82000,102000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
Intel,Hardware/Semiconductor,"C, C++, Python, Verilog","oneAPI, OpenVINO",PostgreSQL,Internal infrastructure,"Software Engineer, Hardware Engineer, Validation Engineer",125000,165000,210000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
JPMorgan,Finance/Trading,"Java, Python, C++, JavaScript","Spring, React, Athena (proprietary)","Oracle, MongoDB","AWS, Private cloud","Software Engineer, VP Engineering, Quant",140000,185000,260000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Jane Street,Finance/Trading,"OCaml, Python, C++",Proprietary trading systems,Custom solutions,Private infrastructure,"Quant Trader, Software Engineer, Quant Researcher",300000,425000,550000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
KPMG,Consulting,"Python, R, SQL, Java","Power BI, Tableau","SQL Server, Oracle","AWS, Azure","Consultant, Data Analyst, Auditor",72000,92000,120000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
Meta,Big Tech,"Python, C++, JavaScript, Hack, Rust","React, PyTorch, GraphQL","MySQL, TAO, RocksDB","Private infrastructure, some AWS","Software Engineer, Research Scientist, Data Scientist",185000,300000,420000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
